author_id,author,work_count,award_count,awards
AUTR-000428,日下圭介,1,1,RAN
AUTR-000429,伴野朗,1,1,RAN
AUTR-000430,藤本泉,1,1,RAN
AUTR-000431,梶龍雄,1,1,RAN
AUTR-000432,栗本薫,1,1,RAN
AUTR-000433,高柳芳夫,1,1,RAN
AUTR-000434,井沢元彦,1,1,RAN
AUTR-000435,長井彬,1,1,RAN
AUTR-000437,中津文彦,1,1,RAN
AUTR-000438,鳥井加南子,1,1,RAN
AUTR-000439,森雅裕,1,1,RAN
AUTR-000440,山崎洋子,1,1,RAN
AUTR-000441,石井敏弘,1,1,RAN
AUTR-000442,坂本光一,1,1,RAN
AUTR-000443,長坂秀佳,1,1,RAN
AUTR-000444,鳥羽亮,1,1,RAN
AUTR-000445,阿部陽一,1,1,RAN
AUTR-000446,鳴海章,1,1,RAN
AUTR-000448,川田弥一郎,1,1,RAN
AUTR-000449,中嶋博行,1,1,RAN
AUTR-000450,渡辺容子,1,1,RAN
AUTR-000451,野沢尚,1,1,RAN
AUTR-000453,新野剛志,1,1,RAN
AUTR-000454,首藤瓜於,1,1,RAN
AUTR-000456,三浦明博,1,1,RAN
AUTR-000457,不知火京介,1,1,RAN
AUTR-000458,赤井三尋,1,1,RAN
AUTR-000459,神山裕右,1,1,RAN
AUTR-000460,薬丸岳,1,1,RAN
AUTR-000461,鏑木蓮,1,1,RAN
AUTR-000462,早瀬乱,1,1,RAN
AUTR-000463,曽根圭介,1,1,RAN
AUTR-000464,翔田寛,1,1,RAN
AUTR-000465,末浦広海,1,1,RAN
