history_id,work_id,award_id,award_year,award_no,award_term,status,confidence,remarks
369,PLAM-000752,JSF,2014,35,H1,co_winner,REVIEWED,
370,PLAM-000753,JSF,2014,35,H1,co_winner,REVIEWED,
371,PLAM-000754,JSF,2015,36,H1,co_winner,REVIEWED,
372,PLAM-000755,JSF,2015,36,H1,co_winner,REVIEWED,
373,PLAM-000756,JSF,2016,37,H1,awarded,REVIEWED,漫画作品
374,PLAM-000623,JSF,2017,38,H1,co_winner,REVIEWED,
375,PLAM-000757,JSF,2017,38,H1,co_winner,REVIEWED,
376,PLAM-000758,JSF,2018,39,H1,co_winner,REVIEWED,
377,PLAM-000759,JSF,2018,39,H1,co_winner,REVIEWED,
378,PLAM-000760,JSF,2019,40,H1,co_winner,REVIEWED,
379,PLAM-000761,JSF,2019,40,H1,co_winner,REVIEWED,
380,PLAM-000762,JSF,2020,41,H1,co_winner,REVIEWED,
381,PLAM-000763,JSF,2020,41,H1,co_winner,REVIEWED,
382,PLAM-000764,JSF,2021,42,H1,awarded,REVIEWED,漫画作品
383,PLAM-000765,JSF,2022,43,H1,co_winner,REVIEWED,SF評論集
384,PLAM-000766,JSF,2022,43,H1,co_winner,REVIEWED,
385,PLAM-000767,JSF,2023,44,H1,awarded,REVIEWED,
386,PLAM-000768,JSF,2024,45,H1,awarded,REVIEWED,漫画作品
387,PLAM-000769,JSF,2025,46,H1,awarded,REVIEWED,SF翻訳評論集成
388,PLAM-000512,KMS,1988,1,H1,awarded,REVIEWED,第1回（年号表記変更のため1990年版は欠番）
389,PLAM-000227,KMS,1989,2,H1,awarded,REVIEWED,第2回
390,PLAM-000514,KMS,1991,3,H1,awarded,REVIEWED,第3回（1990年版欠番のため1991年版が第3回）
